molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL430,2700.0,nM,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,5.568636235841012
CHEMBL452326,2700.0,nM,COC(=O)c1ccc(COC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl,5.568636235841012
CHEMBL3343899,2740.0,nM,CC#CC#Cc1ccc(C#CC(O)CO)s1,5.562249437179612
CHEMBL2425079,2800.0,nM,N[C@H]1C[C@@H](N2Cc3cn[nH]c3C2)CO[C@H]1c1cc(F)ccc1F,5.552841968657781
CHEMBL235134,2800.0,nM,Cn1c(=O)c2c(nc(N3CCNCC3)n2Cc2ccccc2)n(C)c1=O,5.552841968657781
CHEMBL2333025,2800.0,nM,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1ccncc1,5.552841968657781
CHEMBL2159178,2800.0,nM,COc1cccc(-c2c(CN)c(N)nc3c2c(=O)n(C)c(=O)n3C)c1,5.552841968657781
CHEMBL488909,2800.0,nM,Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)NCc1cccc(OCC(=O)O)c1)Cc1cc(F)c(F)cc1F,5.552841968657781
CHEMBL364093,2800.0,nM,C[C@@H](c1ccc(F)c(Cl)c1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,5.552841968657781
CHEMBL4754461,2800.0,nM,Cc1ccnc(Nc2cc(N3CCNCC3)nc3ccnn23)c1,5.552841968657781
CHEMBL443316,2800.0,nM,CCCC[C@H]1CN(c2ccc(Cl)c(C(F)(F)F)c2)CC[C@H]1N,5.552841968657781
CHEMBL3425746,2801.0,nM,N[C@@H](CC(=O)N1CC[C@@H]2[C@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1ccccc1,5.552686891176432
CHEMBL3343900,2810.0,nM,OCc1ccc(-c2ccc(C#CC(O)CO)s2)s1,5.55129368009492
CHEMBL392697,2900.0,nM,N[C@H]1CN(c2cc(-c3cccc(Cl)c3)ncn2)C[C@@H]1c1ccccc1,5.537602002101044
CHEMBL50,2920.0,nM,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.534617148551582
CHEMBL3955701,2930.0,nM,COc1ccc2ccc3c(c2c1)C[C@@H](N)[C@H](c1cc(F)c(F)cc1F)O3,5.53313237964589
CHEMBL3310987,2950.0,nM,CCn1c(=O)c(C(C)(NN)Nc2ccc(C)cc2)c(O)c2ccccc21,5.530177984021837
CHEMBL459882,3000.0,nM,COC(=O)c1ccc(CNC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl,5.522878745280337
CHEMBL184262,3000.0,nM,N[C@@H](CC(=O)N1CCSC1)Cc1ccccc1,5.522878745280337
