molecule_chembl_id,IC50,units,smiles,pIC50,ROMol,molecular_weight,n_hba,n_hbd,logp,n_rotatable,n_aromatic_rings
CHEMBL4068446,0.38,nM,Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(-c4nc(C(=O)O)cs4)cc23)cc1.Cl.Cl,9.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856880>,503.120103464,5,2,6.532720000000006,6,4
CHEMBL564249,0.38,nM,CS(=O)(=O)c1cccc(C(=O)NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cccc(Cl)c2)c1,9.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8568f0>,477.148905056,5,2,2.424400000000001,8,2
CHEMBL2058762,0.39,nM,N#Cc1ccc2[nH]c(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,9.4089353929735,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856960>,411.18412942000003,7,2,0.8199799999999999,3,2
CHEMBL2425893,0.4,nM,CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f8569d0>,437.161852688,7,1,2.210699999999999,4,3
CHEMBL3697942,0.4,nM,C[C@H](F)CN1C[C@H](N2Cc3cn(S(C)(=O)=O)nc3C2)C[C@H](N)C1c1cc(F)ccc1F,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856a40>,457.175930732,7,1,1.7855000000000008,5,2
CHEMBL3735843,0.4,nM,N[C@H]1C[C@@H](N2Cc3[nH]nc(S(=O)(=O)c4ccccc4)c3C2)CO[C@@H]1c1cc(F)ccc1F,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856ab0>,460.13806800399993,6,2,2.6938000000000004,4,3
CHEMBL237500,0.4,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856b20>,472.23352213600003,10,1,1.1474199999999997,4,4
CHEMBL557176,0.4,nM,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccn1)Cc1cc(F)c(F)cc1F,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856b90>,534.136956292,6,1,3.6171000000000024,6,3
CHEMBL2058758,0.42,nM,N#Cc1ccc2sc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,9.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856c00>,428.14530138800006,8,1,1.5533799999999998,3,2
CHEMBL3675618,0.42,nM,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)N(Cc1nc(C)c3ccccc3n1)C1=NCCN12,9.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856c70>,483.2495065480001,9,1,1.9175199999999994,4,3
CHEMBL539352,0.43,nM,COc1ccc(CC2c3nnc(C(F)(F)F)n3CCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl,9.366531544420411,<rdkit.Chem.rdchem.Mol object at 0x7c3d0f856ce0>,563.152272008,6,1,4.230700000000004,7,3
